fd,n_samples,MAE_before,MAE_after,NASA_before,NASA_after,calib_coef,calib_intercept,calib_path
FD001,100,19.664093039999997,14.541291560972324,3387.041780512288,553.0523945760884,0.7521104207158572,9.116893357056071,C:\Users\David\Documents\AeroGPT\results\CMAPSS\GRU\calib_FD001.pkl
FD002,259,24.215724307308882,24.097660125050492,110167.39296374429,53437.90449271127,0.8369028257509802,10.817491648823335,C:\Users\David\Documents\AeroGPT\results\CMAPSS\GRU\calib_FD002.pkl
FD003,100,35.85438578,19.340362613045635,124225518.61162929,3977.6144362927494,0.45920685410579093,26.935660137062847,C:\Users\David\Documents\AeroGPT\results\CMAPSS\GRU\calib_FD003.pkl
FD004,248,32.09655918963709,28.24171492463862,1060574.0544939705,19813.495082456,0.6502216429219002,25.095897061316144,C:\Users\David\Documents\AeroGPT\results\CMAPSS\GRU\calib_FD004.pkl
GLOBAL,707,27.982556091404525,24.837457656244258,125399647.10086751,290771.2346768853,0.6600869242356512,21.13995279144671,C:\Users\David\Documents\AeroGPT\results\CMAPSS\GRU\calib_global.pkl
