fd,n_samples,MAE_before,RMSE_before,NASA_before,MAE_after,RMSE_after,NASA_after,calib_coef,calib_intercept
FD001,100,19.664094924926758,25.795507367223696,3387.0413755564064,14.541290283203125,18.791732026676634,553.0523596667057,0.7521103620529175,9.116897583007812
FD002,259,24.21572494506836,33.419564311512566,110167.38429212835,24.097660064697266,32.21900616054321,53437.91697035847,0.8369029760360718,10.817481994628906
FD003,100,35.8543815612793,55.23205460149088,124225466.78137618,19.340360641479492,24.313456504097715,3977.6139212601083,0.45920684933662415,26.935653686523438
FD004,248,32.0965576171875,42.35040429297417,1060574.0249398975,28.241714477539062,34.986913289738304,19813.49353803663,0.650221586227417,25.095901489257812
